"Dish ID
[001]","Dish URL
[002]","Category
[003]","Dish Name
[004]","Sub-Recipe ID
[005]","Sub-Recipe Name (Live Sync)
[006]","Per Portion
[007]","Unit
[008]",Price
537,https://eatbetterday.ca/admin/meals/537,Meat,Backroads Honey Hot Glazed Chicken,,,,,$16.99
537,,,,1456,BBQ Spice Roasted Potatoes (Oven T),200,gr,
537,,,,2043,Steamed Whole Green Beans,100,gr,
537,,,,2569,Parm + Almond Garnish,16,gr,
537,,,,1597,Rough Chopped Parsley For Garnish,3,gr,
537,,,,2911,Honey Hot Glazed Chicken Breasts,1,un,
537,,,,2912,2 oz Hot Honey Garlic,1,un,
545,https://eatbetterday.ca/admin/meals/545,Meat,Bali Belly Peanut Chicken Satay,,,,,$16.99
545,,,,1866,Garlicy Green Bean + Carrot,160,gr,
545,,,,2943,Toasted Coconut Basmati Rice,140,gr,
545,,,,244,Round Cut Green Onion,3,gr,
545,,,,178,1oz Peanut Cup Portioned,1,un,
545,,,,2932,Sliced+ Glazed Thai Chicken,1,un,
545,,,,2942,2oz Red Thai Peanut Sauce,1,un,
6,https://eatbetterday.ca/admin/meals/6,Veg,Bali Peanut Satay,,,,,$15.99
6,,,,1866,Garlicy Green Bean + Carrot,160,gr,
6,,,,2943,Toasted Coconut Basmati Rice,140,gr,
6,,,,2940,Peanut Tofu Puffs,8,un,
6,,,,244,Round Cut Green Onion,3,gr,
6,,,,178,1oz Peanut Cup Portioned,1,un,
6,,,,2942,2oz Red Thai Peanut Sauce,1,un,
514,https://eatbetterday.ca/admin/meals/514,Meat,Ballin’ In Gravy Swedish Meatballs,,,,,$16.99
514,,,,1328,Russet Garlic Mashed Potato,180,gr,
514,,,,1469,Steamed Broccoli,75,gr,
514,,,,2684,Peppercorn Chicken Gravy,55,gr,
514,,,,1597,Rough Chopped Parsley For Garnish,3,gr,
514,,,,2224,Seared Meatballs,3,un,
514,,,,2849,2oz Cranberry Sauce,1,un,
378,https://eatbetterday.ca/admin/meals/378,*Breakie,Pro-gurt Parfait,,,,,
378,,,,1101,Balsamic Mixed Berry Compote,75,gr,
378,,,,2686,Quinoa Granola Topper,1,un,
378,,,,2762,Protein Yogurt Mix Units,1,un,
509,https://eatbetterday.ca/admin/meals/509,Meat,Casanova Chicken Parm,,,,,$16.99
509,,,,2792,Sauced Italian Veg Medley,200,gr,
509,,,,2754,Russet Spinach Mashed Potato,180,gr,
509,,,,2348,Shredded Parmesan Cheese #1004751,5,gr,
509,,,,1597,Rough Chopped Parsley For Garnish,2,gr,
509,,,,2757,1 oz Vegan Parmesan,1,un,
509,,,,2766,Cooked Chicken Parm,1,un,
404,https://eatbetterday.ca/admin/meals/404,*Cookies,PB Cookies,,,,,
404,,,,2533,4 Pack Drizzled Peanut Butter Cookie,4,un,
468,https://eatbetterday.ca/admin/meals/468,Veg,Ciao Bella Bruschetta Linguine,,,,,$15.99
468,,,,2599,Cooked Linguine,170,gr,
468,,,,2601,Vegan Pesto Cream Sauce,140,gr,
468,,,,2604,Pasta Bruschetta Mix,75,gr,
468,,,,1403,Greek Sautee Soy Curl (Oven T),70,gr,
468,,,,475,Baby Arugula #1281805,2,gr,
469,https://eatbetterday.ca/admin/meals/469,Meat,Ciao Bella Chicken Bruschetta Linguine,,,,,$16.99
469,,,,2599,Cooked Linguine,170,gr,
469,,,,2601,Vegan Pesto Cream Sauce,140,gr,
469,,,,2604,Pasta Bruschetta Mix,75,gr,
469,,,,2399,Sliced Italian Chicken Breasts,70,gr,
469,,,,475,Baby Arugula #1281805,2,gr,
234,https://eatbetterday.ca/admin/meals/234,Veg,Cranberry Glazed Neatloaf,,,,,$15.99
234,,,,1328,Russet Garlic Mashed Potato,160,gr,
234,,,,2043,Steamed Whole Green Beans,80,gr,
234,,,,1597,Rough Chopped Parsley For Garnish,3,gr,
234,,,,2084,Cran Balled + Stuffing Loafs,1,un,
539,https://eatbetterday.ca/admin/meals/539,Meat,Curry Hut Chicken Tikka Masala,,,,,$16.99
539,,,,2917,Base Tikka Masala With Veg,310,gr,
539,,,,212,Aromatic Basmati Rice,140,gr,
539,,,,2778,Dice+ Portioned Curry Chicken,70,gr,
539,,,,1571,Savory Tofu Yogurt Drizzle,8,gr,
480,https://eatbetterday.ca/admin/meals/480,Veg,Curry Hut Tikka Masala,,,,,$15.99
480,,,,2662,Vegan Tikka Masala With Veg,310,gr,
480,,,,212,Aromatic Basmati Rice,140,gr,
480,,,,1571,Savory Tofu Yogurt Drizzle,10,gr,
480,,,,1597,Rough Chopped Parsley For Garnish,2,gr,
275,https://eatbetterday.ca/admin/meals/275,Veg,Dumpling Party Udon,,,,,$15.99
275,,,,2058,Marinated Udon Noodles,200,gr,
275,,,,2056,Dumpling Veg (Oven F),80,gr,
275,,,,244,Round Cut Green Onion,5,gr,
275,,,,2057,Steamed Dumplings,3,un,
275,,,,304,Sesame Seed Mix,2,gr,
275,,,,2592,1oz Chili Dumpling Sauce Portioned,1,un,
369,https://eatbetterday.ca/admin/meals/369,*Breakie,Bacon Cheddar Egg Bites (6-Pack),,,,,
369,,,,2363,Steamed Bacon Cheddar Egg Bites,6,un,
530,https://eatbetterday.ca/admin/meals/530,*Breakie,Spinach & Red Pepper Egg Bites [6-Pack],,,,,
530,,,,2860,Steamed Spinach Egg Bites,6,un,
515,https://eatbetterday.ca/admin/meals/515,Meat,Flex Mex Taco Salad,,,,,$16.99
515,,,,2804,Brown Mexi Rice + Beans,170,gr,
515,,,,2801,BetterDay Pico De Gallo,80,gr,
515,,,,2184,Cooked Burrito Beef,70,gr,
515,,,,421,House Mixed Greens Salad,52,gr,
515,,,,2884,Shredded Nacho Cheese Blend #1203023,20,gr,
515,,,,2558,2 oz Crumbled Tortilla Chips Cup,1,un,
515,,,,2810,HF 2.5oz Portioned Protein Crema,1,un,
284,https://eatbetterday.ca/admin/meals/284,Meat,Full Moon Party Chicken Pad Thai,,,,,$16.99
284,,,,540,Turmeric Medium Rice Noodles,185,gr,
284,,,,75,Pad Thai Pepper Slaw,80,gr,
284,,,,304,Sesame Seed Mix,3,gr,
284,,,,178,1oz Peanut Cup Portioned,1,gr,
284,,,,2623,2.5 oz Pad Thai,1,un,
284,,,,2727,Sliced Viet Chicken Breast,1,un,
14,https://eatbetterday.ca/admin/meals/14,Veg,Full Moon Party Pad Thai,,,,,$15.99
14,,,,540,Turmeric Medium Rice Noodles,185,gr,
14,,,,1386,Asian Tofu Scramble,85,gr,
14,,,,75,Pad Thai Pepper Slaw,80,gr,
14,,,,304,Sesame Seed Mix,3,gr,
14,,,,178,1oz Peanut Cup Portioned,1,gr,
14,,,,2623,2.5 oz Pad Thai,1,un,
431,https://eatbetterday.ca/admin/meals/431,*Granola,Quinoa Almond Granola,,,,,
431,,,,2026,Bagged Quinoa Granola,1,un,
430,https://eatbetterday.ca/admin/meals/430,*Granola,Tropical Granola,,,,,
430,,,,2027,Bagged Tropical Granola,1,un,
305,https://eatbetterday.ca/admin/meals/305,Meat,Halifax Hero Donair Bowl,,,,,$16.99
305,,,,1447,Tzatziki Garlic Potatoes,140,gr,
305,,,,1448,Shawarma Veggie Rice,120,gr,
305,,,,2113,Spiced Cooked Donair Meat (Pro T),85,gr,
305,,,,2525,2 oz Sweet Garlic Donair Sauce,1,un,
454,https://eatbetterday.ca/admin/meals/454,Veg,Halifax Hero Veggie Donair Bowl,,,,,$15.99
454,,,,1447,Tzatziki Garlic Potatoes,140,gr,
454,,,,1448,Shawarma Veggie Rice,120,gr,
454,,,,1446,Sautee Donair Soy Curls,80,gr,
454,,,,2525,2 oz Sweet Garlic Donair Sauce,1,un,
428,https://eatbetterday.ca/admin/meals/428,*ProPack,Soy Curl Protein Pack,,,,,
428,,,,2561,Greek Soy Curls for Protein Pack,1,un,
521,https://eatbetterday.ca/admin/meals/521,Meat,Jade Curry Noodles with Turkey Meatballs,,,,,$16.99
521,,,,1384,Green Curry Sauce Base,215,gr,
521,,,,540,Turmeric Medium Rice Noodles,180,gr,
521,,,,2800,Asian Veg Medley,90,gr,
521,,,,1777,Slant Cut Green Onion,3,gr,
521,,,,304,Sesame Seed Mix,2,gr,
521,,,,2798,Portioned Asian Turkey Meatballs,2,un,
521,,,,2799,1oz Portioned Toasted Coconut,1,un,
507,https://eatbetterday.ca/admin/meals/507,Meat,Kabayan Kaldereta Beef Stew,,,,,$16.99
507,,,,2746,Kaldereta Stew (Pro F),300,gr,
507,,,,1967,Universal Roasted Potatoes,170,gr,
507,,,,244,Round Cut Green Onion,2,gr,
375,https://eatbetterday.ca/admin/meals/375,Meat,Machu Pichu Picnic,,,,,$16.99
375,,,,2386,Peru Potato Salad,200,gr,
375,,,,2722,Green Bean + Pepper Veg Mix,110,gr,
375,,,,2419,Sliced + Portioned Peru Breast,70,gr,
375,,,,2353,#2353 (1354946) - President Crumbled Dairy Feta,5,gr,
375,,,,2723,2 oz Aji Verde,1,un,
440,https://eatbetterday.ca/admin/meals/440,Veg,Mango Dragon Roll Sushi Bowl,,,,,$15.99
440,,,,1155,Brown Sushi Rice,190,gr,
440,,,,310,Spicy Sushi Crab Mix,70,gr,
440,,,,1435,Rough Chop Mango,45,gr,
440,,,,823,Pickled Carrot,40,gr,
440,,,,129,Sliced Cucumbers,35,gr,
440,,,,304,Sesame Seed Mix,2,gr,
440,,,,2574,1oz Unagi Sauce Portioned,1,un,
403,https://eatbetterday.ca/admin/meals/403,*Breakie,Mango Chia,,,,,
403,,,,1867,Small Punch Diced Mango,25,gr,
403,,,,302,Kesar Mango Pulp,20,gr,
403,,,,1723,Mango Chia Pudding Units,1,un,
403,,,,2025,Tropical Garnola Topper,1,un,
476,https://eatbetterday.ca/admin/meals/476,Meat,Mango Tango Chicken Red Thai Curry,,,,,$16.99
476,,,,1879,Signature 6 Thai Mango Curry,230,gr,
476,,,,2288,Cabbage Garnish,15,gr,
476,,,,304,Sesame Seed Mix,2,gr,
476,,,,620,Sticky Rice Balls,1,un,
476,,,,2718,Diced Viet Chicken Breast,1,un,
411,https://eatbetterday.ca/admin/meals/411,Veg,Mango Red Thai Curry,,,,,$15.99
411,,,,1879,Signature 6 Thai Mango Curry,300,gr,
411,,,,2288,Cabbage Garnish,15,gr,
411,,,,304,Sesame Seed Mix,2,gr,
411,,,,620,Sticky Rice Balls,1,un,
556,https://eatbetterday.ca/admin/meals/556,Meat,Mardi Gras Cajun Chicken Linguini,,,,,$16.99
556,,,,2936,Cajun Alfredo,160,gr,
556,,,,2599,Cooked Linguine,155,gr,
556,,,,2938,Flash Roasted Pasta Veg,76,gr,
556,,,,2946,Sliced Cajun Chicken Grams,70,gr,
556,,,,2632,Grilled Corn,10,gr,
556,,,,244,Round Cut Green Onion,5,gr,
556,,,,2348,Shredded Parmesan Cheese #1004751,5,gr,
557,https://eatbetterday.ca/admin/meals/557,Veg,Mardi Gras Cajun Linguini,,,,,$15.99
557,,,,2936,Cajun Alfredo,160,gr,
557,,,,2599,Cooked Linguine,155,gr,
557,,,,2938,Flash Roasted Pasta Veg,76,gr,
557,,,,2630,Roasted Cajun Soy Curls,70,gr,
557,,,,2632,Grilled Corn,10,gr,
557,,,,244,Round Cut Green Onion,5,gr,
250,https://eatbetterday.ca/admin/meals/250,Veg,Mediterranean Pearl Coucous Power Bowl,,,,,$15.99
