"Station
[001]","Day
[002]","Priority #
[003]","Sub-Recipe ID
[004]","Sub-Recipe URL
[005]","Sub-Recipe Name
[006]","Ingredient ID
[007]","Ingredient Name
[008]","Trim %
[009]","Weight/Quantity
[010]","Unit
[011]","Prep Instructions
[012]"
Veg - 017,Wed,1,1230,https://eatbetterday.ca/admin/ingredients/1230,Air Dried Shredded Kale,,,,32.9159,Kgs,"1) Open all kale needed for the week and transfer into a blue strainer bin.
2) Place the bin in the fridge and allow the kale to air out throughout the day.
3) Weigh, label, and place back in the fridge."
,,,1230,,,256,Pre-Shredded Kale,,32.9159,Kgs,
Veg - 017,Wed,1,569,https://eatbetterday.ca/admin/ingredients/569,Blanched Corn,,,,9.016,Kgs,"1) Fill a clean sink with the hottest water possible (let the tap run for 1–2 minutes before plugging the drain).
2) Place frozen corn in a blue strainer bin and submerge it in the sink, allowing the hot water to fully cover the corn.
3) Quickly blanch the corn by letting it sit in the hot water for 3–5 minutes.
4) Drain the water from both the sink and the blue bin, then refill the sink with cold water to bring the corn to room temperature.
5) Once cool, drain the blue bin thoroughly and set it on a flipped, upside-down grey lid to catch excess water.
6) Weigh, label, and lid, then place in the fridge."
,,,569,,,138,Frozen Corn Nibblets (No Name Brand),,9.016,Kgs,
Veg - 017,Wed,1,1040,https://eatbetterday.ca/admin/ingredients/1040,Diced Jalapeno,,,,1.9857,Kgs,"1) Wash all jalapeños thoroughly.
2) Tip and tail each jalapeño (remove stem and base).
3) Slice open lengthwise and remove seeds.
4) Set up the Juli Veg Punch Slicer with the small punch dicer.
5) Dice the jalapeños using the slicer.
6) Transfer diced jalapeños into a container.
7) Weigh, label, and store in the fridge in the assigned area."
,,,1040,,,309,Fresh Whole Jalapeno,,2.2064,Kgs,
Veg - 017,Wed,1,1415,https://eatbetterday.ca/admin/ingredients/1415,Diced tofu for Feta,,,,7.239,Kgs,"1) Confirm with the oven station leader whether feta will be made that day before starting tofu prep.
2) Remove tofu from packaging and gently drain off excess liquid. Slice each block into quarters using a clean knife—do not rip or tear the tofu.
3) Use the 1/2 inch hand punch dicer to dice the tofu quarters into even cubes, working carefully to avoid crumbling.
4) Place the diced tofu into clean grey bins. Weigh the product, label with the item name and date, and place in the fridge in the assigned area."
,,,1415,,,119,DSI Extra Firm Tofu - 5.25 kg/case,,7.239,Kgs,
Veg - 017,Wed,1,913,https://eatbetterday.ca/admin/ingredients/913,Fine Chopped Parsley,,,,0.0784,Kgs,"1) Mise the pre-washed parsley.
2) Pluck leaves from any remaining thick stems, discarding only the large or woody ones—thin tender stems can be kept.
3) Gather the plucked parsley into a tight pile on the cutting board.
4) Using a sharp chef’s knife, chop the parsley with a smooth rocking motion, keeping the tip of the knife in contact with the board.
5) Re-gather the pile with your knife and rotate the board or pile to ensure an even chop.
6) Continue chopping until the parsley is finely chopped—smaller than a rough chop, but not minced.
7) Avoid over-chopping to prevent bruising and excess moisture.
8) Transfer the chopped parsley into a gray bin.
9) Weigh, label, and store in the fridge in the assigned area."
,,,913,,,132,(1282605) - Ready-Set-Serve Parsley,,0.0917,Kgs,
Veg - 017,Wed,1,686,https://eatbetterday.ca/admin/ingredients/686,Grated + Squeezed Cucumber,,,,2.6581,Kgs,"1) Remove the tip and tail of each cucumber. Leave the skin on and keep the cucumbers whole — do not cut unless they are too large to fit into the hopper.
2) Unplug the Robot Coupe CL52E before setting it up. Open the continuous feed head and begin by placing the ejection disc onto the motor shaft inside the bowl. Next, insert the white “S” scraper blade, which helps move shredded product efficiently out of the machine. Then, mount the RG3 shredding blade (the smallest grater attachment) onto the shaft above the scraper. Make sure everything is seated securely. Close the lid and ensure it locks in place before use.
3) Plug in and turn on the Robot Coupe. Load cucumbers into the large feed chute and guide them through using the pusher, applying even pressure to produce a fine, consistent shred.
4) Once shredded, transfer the cucumbers to a fine-mesh strainer. Squeeze out as much liquid as possible and discard the juice. Place the drained cucumber shreds into a clean container, weigh, label and place in the fridge"
,,,686,,,462,Miniature Cucumbers,,5.3163,Kgs,
Veg - 017,Wed,1,2097,https://eatbetterday.ca/admin/ingredients/2097,Halfed Eggplants,,,,13.6909,Kgs,"1) Gather and inspect all eggplant that has been ordered. Set aside any damaged pieces.
2) Tip and tail each eggplant by removing the stem and bottom end.
3) Using a sharp chef’s knife, slice each eggplant in half lengthwise to create even halves.
4) Place the halved eggplant into a clean grey bin, arranging them neatly to avoid bruising.
5) Weigh, label with item name and date, and place in the fridge in the assigned area."
,,,2097,,,316,(1243652) - Eggplant,,15.3673,Kgs,
Veg - 017,Wed,1,824,https://eatbetterday.ca/admin/ingredients/824,Julienne Carrots,,,,16.0624,Kgs,"1) Peel the carrots completely, then trim off the tip and tail. If the carrots are large or very long, cut them into roughly 3-inch pieces to help them fit into the hopper more easily and ensure even cuts.
2) Unplug the Robot Coupe CL52E before starting setup. Open the continuous feed head and begin by placing the ejection disc onto the motor shaft inside the bowl. Next, install the white “S” scraper blade if required by the julienne disc. Then, mount the 3x3mm julienne disc onto the shaft above the scraper or directly above the ejection disc, depending on the blade design. Make sure the disc is locked securely in place, then close the lid and ensure it is properly latched.
3) Plug in and turn on the Robot Coupe. Load carrots into the large feed chute and guide them through using the pusher, applying steady, even pressure for uniform matchstick cuts.
4) Once all carrots are julienned, collect them in a clean grey bin. Weigh, label with the item name and date, and place in the fridge in the assigned area."
,,,824,,,900,Jumbo Carrots,,18.9975,Kgs,
Veg - 017,Tue,1,1986,https://eatbetterday.ca/admin/ingredients/1986,Minced Basil,,,,0.203,Kgs,"1) Plucked and fine chop basil much smaller than the rough chop.
2) Weigh and label.
3) Place into a Tupperware container."
,,,1986,,,444,Fresh Basil,,0.3053,Kgs,
Veg - 017,Wed,1,1119,https://eatbetterday.ca/admin/ingredients/1119,Minced Dill,,,,0.3514,Kgs,"1) Remove dill from the stem: Hold the dill bunch by the stems, and gently pull the leaves off. Discard the thicker, tougher stems. The tender, feathery leaves are the part youll be using.
2) Gather the dill leaves together: Lay the dill leaves flat on the cutting board, making sure they are arranged evenly to ensure an even cut.
3) Roll the dill leaves (optional): For a finer mince, you can roll the dill leaves into a tight bundle. This makes it easier to chop evenly.
4) Mince the dill: Using a sharp chefs knife, make small, careful cuts across the dill leaves, going back and forth in a rocking motion. Continue mincing until the dill is very small and finely chopped.
5) Once minced, use it immediately for your recipe or store it in a container."
,,,1119,,,586,"(1424140) - Baby Dill, Fresh",,0.7171,Kgs,
Veg - 017,Wed,1,550,https://eatbetterday.ca/admin/ingredients/550,Minced Ginger,,,,4.5206,Kgs,"1) Wash the ginger thoroughly to remove any dirt or debris. Do not peel the ginger — keep the skin intact.
2) Chop the ginger into 1-inch pieces, ensuring they are uniform for even processing.
3) Place the chopped ginger into a food processor. Pulse until the ginger is finely minced, making sure there are no large chunks remaining.
4) Check the freezer for any pre-frozen ginger. If available, pull it out and set aside.
5) For the freshly minced ginger, divide the product into 2 kg portions and store each portion in separate freezer bags. Seal the bags tightly.
6) Label each freezer bag with the item name, weight, and date, then store in the freezer."
,,,550,,,100,Fresh Ginger Root,,4.7586,Kgs,
Veg - 017,Wed,1,1609,https://eatbetterday.ca/admin/ingredients/1609,Picked Fresh Basil,,,,0.2967,Kgs,"1) Pluck fresh basil leaves off stem, ensuring any wilting/black leaves are getting composted.Toss any stems as well.
2) Place plucked basil leaves into a container.
3) Weigh, Label, and place in the assigned area in the fridge."
,,,1609,,,444,Fresh Basil,,0.4238,Kgs,
Veg - 017,Wed,1,898,https://eatbetterday.ca/admin/ingredients/898,Rough Chopped Cilantro,,,,0.8259,Kgs,"1) Gather your cilantro.
2) Keep the tender stems: You do not need to pick off individual leaves. The thin stems near the top are flavorful and soft — keep everything from the top half of the bunch.
3) Bunch the cilantro together on your cutting board, holding it tightly like a bouquet to make cutting easier.
4) Use a sharp chef’s knife, evenly cuts across the bunch. Chop using a rocking motion, working from one end of the bunch to the other.
5) Make 2–3 passes across the pile of cilantro if needed. You’re aiming for pieces roughly ½ inch in size — no need to be precise.
6) Do not over-chop: You want a loose, leafy texture. Over-chopping can bruise the cilantro and make it mushy or wet.
7) Once cilantro is chopped place in a container, weigh,label,and place in correct arrea in the fridge."
,,,898,,,1607,(1275005) - Cilantro,,0.8259,Kgs,
Veg - 017,Wed,1,1597,https://eatbetterday.ca/admin/ingredients/1597,Rough Chopped Parsley For Garnish,,,,1.7151,Kgs,"1) Pluck the parsley leaves from the stems, discarding only the thick, woody parts. Some tender stems can remain.
2) Using a sharp knife, roughly chop the parsley into pieces about 1 cm in size. This should be a loose, rustic cut — not minced. The pieces should be large enough to see and pick up individually, as this parsley will be used as a fresh garnish on dishes.
3) Use the small scale to weigh the chopped parsley in portions as needed.
4) Transfer into a clean Tupperware container.
5) Label with item name, weight, and date, then place in the fridge in the assigned area."
,,,1597,,,132,(1282605) - Ready-Set-Serve Parsley,,1.9056,Kgs,
Veg - 017,Wed,1,247,https://eatbetterday.ca/admin/ingredients/247,Shredded Red Onions,,,,6.825,Kgs,"1) Peel the onions fully, removing any outer skin and blemishes. Once peeled, cut all onions into quarters through the root end.
2) Unplug the Robot Coupe CL52E and open the continuous feed head. Begin by placing the ejection disc onto the motor shaft. Then insert the 3mm slicing blade and close the lid securely.
3) Plug in the machine and turn it on. Load the halved onions into the hopper, packing it as full as possible. Slice all onions using steady, even pressure.
4) Receive the sliced onions into clean grey bins. Weigh, label with item name and date, and place in the fridge in the assigned area."
,,,247,,,69,Red Onions,,7.5442,Kgs,
Veg - 017,Wed,1,1352,https://eatbetterday.ca/admin/ingredients/1352,Small Diced Celery,,,,1.8312,Kgs,"1) Cut off the bottom of the stalks.
2) Wash and remove leaves.
3) Set up robo coupe with 5/16 blade. If smaller amount use punch dicer.
4) Cut in half and place in the hopper.
5) Process all celery and receive into grey bins.
6) Weigh and label."
,,,1352,,,201,(1602005) - Whole Celery,,2.466,Kgs,
Veg - 017,Wed,1,1721,https://eatbetterday.ca/admin/ingredients/1721,Small Diced Extra Firm Tofu,,,,5.4864,Kgs,"1) Remove tofu from bags, then cut into 1/4. Please cut the tofu do not rip.
2) Dice tofu with the 8mm dicer attachment.
3) Place into grey bins, weigh and label."
,,,1721,,,119,DSI Extra Firm Tofu - 5.25 kg/case,,5.4864,Kgs,
Veg - 017,Wed,1,248,https://eatbetterday.ca/admin/ingredients/248,Small Diced Yellow Onion,,,,37.9968,Kgs,"1) Peel the onions completely. Cut them in half through the root, then trim off the tip (non-root end) from each half. If onions are very large, cut them into quarters to help them pass smoothly through the dicing grid.
2) Unplug the Robot Coupe CL52E before setup. Open the continuous feed head and begin by placing the ejection disc onto the motor shaft. Insert the 8x8mm (5/16in) dicing grid into the bowl, ensuring it is seated flat and secure. Install the matching knife blade on the shaft above the grid. Close and lock the lid in place.
3) Plug in and turn on the Robot Coupe. Feed onion halves (or quarters, if large) through the hopper, using the pusher to apply steady pressure.
4) Transfer all diced onions into a clean grey bin. Weigh, label with the item name and date, and place in the fridge in the assigned area. For small batches, use the manual punch dicer and cut onions into quarters before dicing."
,,,248,,,57,Yellow Onion,,43.4746,Kgs,
Veg - 017,Wed,1,252,https://eatbetterday.ca/admin/ingredients/252,Small Punch Dice Red Onion,,,,3.7675,Kgs,"1) Peel the red onions completely, then cut each one in half lengthwise. Trim off both the tip and root end.
2) For small batches, use the manual punch dicer with the smallest dice attachment. Cut the onion halves into quarters before punching. For larger amounts, set up the Robot Coupe CL52E by first placing the ejection disc on the motor shaft. Then insert the 8x8mm (5/16) dicing grid into the bowl and mount the matching knife blade on the shaft above the grid. Close and lock the lid securely.
3) Feed red onion halves (or quarters, if large) through the hopper, applying steady pressure with the pusher to achieve a uniform dice.
4) Transfer diced onions into a clean grey bin. Weigh, label with the item name and date, and place in the fridge in the assigned area."
,,,252,,,69,Red Onions,,4.0951,Kgs,
Veg - 017,Wed,1,1120,https://eatbetterday.ca/admin/ingredients/1120,Small Punch Dice Tomato,,,,2.497,Kgs,"1) Wash the tomatoes thoroughly.
2) Slice each tomato in half to create a flat surface.
3) Using the punch press fitted with the small dice blade, punch all tomato halves.
4) Place the diced tomatoes into a gray bin.
5) Weigh, label, and store in the fridge in the assigned area."
,,,1120,,,833,Roma Tomatoes,,2.497,Kgs,
Veg - 017,Wed,1,1325,https://eatbetterday.ca/admin/ingredients/1325,Thick Sliced Red Onions,,,,8.9689,Kgs,"1) Peel, cut, and remove core the onions.
2) Install the ejection disc into the large Robot Coupe bowl.
3) Insert the 5/16 slicing disc into the bowl, then carefully place the dicing blade on top of the grid.
4) Lock the bowl securely onto the base. 5 )Feed the prepared onions through the feed chute using the pusher, processing until all onions are sliced.
5) Transfer the diced onions into a grey bin.
6) Weigh and label."
,,,1325,,,69,Red Onions,,9.7488,Kgs,
Veg - 017,Tue,2,1552,https://eatbetterday.ca/admin/ingredients/1552,1/1 Inch Diced Red Onion,,,,8.5564,Kgs,"1) Peel and trim the red onions, cutting off both the root and stem ends. Slice the onion in half through the root to create two manageable halves.
2) Set up the Robot Coupe by installing the ejection disc onto the motor shaft, followed by the 1/1 inch dicer grid. Install the 1/1 inch dicer blade above the grid and close the lid securely.
3) Process the halved red onions by placing them into the hopper. Use steady, consistent pressure to feed the onions through the dicer, ensuring they are evenly diced.
4) Lay the diced red onions out on a parchment-lined baking tray in a thin, even layer to allow them to dry properly.
5) Place the tray in the fridge for 2 hours to allow the diced red onions to dry.
6) Weigh and label the diced red onions with the item name and date, then store them in the fridge in the assigned area."
,,,1552,,,69,Red Onions,,9.79,Kgs,
Veg - 017,Tue,2,864,https://eatbetterday.ca/admin/ingredients/864,4/5 Inch Diced Red Onion,,,,12.0102,Kgs,"1) Once onions are peeled and trimmed, place into the Robo-Coupe with the 4/5 Inch blades.
2) Once diced, layout on a parchment-lined baking tray to dry in the fridge for 2 hours."
,,,864,,,69,Red Onions,,13.7417,Kgs,
Veg - 017,Tue,2,1299,https://eatbetterday.ca/admin/ingredients/1299,4/5 inch Diced Yellow Onions,,,,15.7331,Kgs,"1) Peel onions + tip and tail.
2) Place in the large grey robot -coupe with the 4/5 inch dicing blade.
3) Dice all onions and weight +label"
,,,1299,,,57,Yellow Onion,,19.0013,Kgs,
Veg - 017,Tue,2,1192,https://eatbetterday.ca/admin/ingredients/1192,Cut Broccoli Florets,,,,5.0412,Kgs,"1) Rinse the whole broccoli crown under cold running water to remove any dirt or debris, then shake off excess water.
2) Place the broccoli on a cutting board and slice off the thick stem flush with the base of the florets. Discard the woody end.
3) Turn the crown upside down and cut through the main stalks that connect each large branch of florets.
4) Slice each large branch into smaller bite-sized florets, cutting through the stems where they naturally divide. Dice up the stems and use as well, discarding any woody stems.
5) Place in a bin and weigh and label"
,,,1192,,,1191,(1571205) - Whole Broccoli,,7.1324,Kgs,
Veg - 017,Tue,2,1553,https://eatbetterday.ca/admin/ingredients/1553,Deseeded Green Pepper,,,,1.284,Kgs,"1) Wash each green pepper thoroughly under cold running water.
2) Tip and tail the pepper by cutting off the stem end and the very bottom (base).
3) Stand the pepper on one of its cut ends. Using a small paring knife, make a vertical incision from top to bottom to open the pepper.
4) Gently pull the two halves apart.
5) Use the tip of your knife or your fingers to lift out and discard the white core and any attached seeds.
6) Rinse the pepper halves briefly to remove any loose seeds, then pat dry with a clean towel or paper towel.
7) Place the deseeded halves into a grey bin.
8) Weigh the peppers, affix the appropriate label, and store in the fridge in the assigned area."
,,,1553,,,573,Green Bell Pepper,,1.5187,Kgs,
Veg - 017,Tue,2,1748,https://eatbetterday.ca/admin/ingredients/1748,Deseeded Red Pepper,,,,103.0041,Kgs,"1) Tip and tail each red pepper by cutting off the top (stem end) and bottom.
2) Stand the pepper upright, and make a vertical cut down one side. Carefully open the pepper flat like a sheet.
3) Trim out the white ribs and remove all seeds using the knife or your hands. Check both sides to ensure all seeds and membranes are removed.
4) Once cleaned, place the de-seeded peppers into a grey bin for processing.
5) Weigh, label with item name and date, and store in the fridge in the assigned area."
,,,1748,,,235,Red Bell Peppers,,123.0708,Kgs,
Veg - 017,Tue,2,1480,https://eatbetterday.ca/admin/ingredients/1480,Deseeded Yellow Pepper,,,,16.3826,Kgs,"1) Wash the yellow peppers thoroughly in cold water.
2) Tip and tail the peppers by slicing off the top (stem end) and bottom.
3) Stand the pepper upright and make a vertical cut down the side.
4) Open the pepper flat and run your knife along the inside to remove the white ribs and seeds.
5) Discard all seeds and membrane.
6) Place cleaned pepper pieces into a gray bin to be processed.
7) Weigh, label, and store in the fridge in the assigned area."
,,,1480,,,1479,Yellow Peppers,,17.2449,Kgs,
Veg - 017,Tue,2,605,https://eatbetterday.ca/admin/ingredients/605,Diced Dill Pickle,,,,11.534,Kgs,"1) Drain the pickles from their pickling liquid using a colander or strainer. Reserve some of the liquid in an empty jar in case you end up with more diced pickles than needed and want to store them for future use.
2) Unplug the Robot Coupe CL52E before beginning setup. Open the continuous feed head and begin by placing the ejection disc onto the motor shaft inside the bowl — this disc spins to push product out after cutting. Next, insert the 8mm dicing grid, making sure it is seated flat and aligned correctly. Then mount the matching 8mm slicing disc onto the shaft above the grid. This disc slices the pickles before they pass through the grid to form small, even cubes. Close the lid and make sure it locks securely — the machine will not run unless it is fully latched.
3) Plug in and turn on the Robot Coupe. Load pickles into the large feed chute and use the pusher to guide them through the slicing disc and dicing grid. Apply firm, steady pressure without forcing the product.
4) Once all pickles are diced, collect them in the designated grey bin. Label the container with the item name and current date, and store it in the assigned fridge location according to kitchen standards."
,,,605,,,604,Whole Dill Pickles,,12.916,Kgs,
Veg - 017,Tue,2,544,https://eatbetterday.ca/admin/ingredients/544,Diced Napa Cabbage,,,,6.5677,Kgs,"1) Remove any damaged outer leaves. Cut large heads in half or quarters. Remove the tough stem/core from each section by cutting it out at an angle.
2) Soak the cabbage pieces in cold water to loosen dirt or insects. Rinse thoroughly and spin dry using the salad spinner until moisture is removed.
3) If prepping a small amount, hand cut napa cabbage into 1-inch dice using a chef’s knife. For larger batches, set up the Robot Coupe: first insert the ejection disc, then place the 1x1 inch dicing grid, and finally secure the matching 1x1 inch dicing blade.
4) Feed cabbage pieces into the hopper and process. Place diced cabbage into sheet trays and dry overnight in fridge.
5) Weigh, label with item name and date, and store in the fridge in the assigned area."
,,,544,,,126,Napa Cabbage,,7.4464,Kgs,
Veg - 017,Tue,2,1551,https://eatbetterday.ca/admin/ingredients/1551,Diced Red Peppers 1/1 inch,,,,21.78,Kgs,"1) Unplug the Robot Coupe CL52E and open the continuous feed head. Place the ejection disc onto the motor shaft, then insert the 1/1 inch (20mm) dicing grid into the bowl and attach the matching knife blade on the shaft above the grid. Close and lock the lid securely.
2) Plug in the machine and turn it on. Feed the prepared red peppers into the hopper, processing them with steady, even pressure until all are diced into the grey bin.
3) Weigh the diced peppers and record the weight. Label the parchment-lined trays with the item name, weight, and date, then spread the peppers in a single layer and place the trays in the fridge to dry for 2 hours."
,,,1551,,,1748,Deseeded Red Pepper (Veg T),,22.9263,Kgs,
Veg - 017,Tue,2,863,https://eatbetterday.ca/admin/ingredients/863,Diced Red Peppers 4/5 inch,,,,31.5345,Kgs,"1) Unplug the Robot Coupe CL52E and open the continuous feed head. Install the ejection disc onto the motor shaft first, then insert the 20mm (4/5 inch) dicing grid into the bowl and mount the matching dicing knife blade on the shaft above the grid. Close and lock the lid securely.
2) Plug in the machine and turn it on. Feed the prepared peppers into the hopper and process using steady, even pressure until all are diced into a clean grey bin.
3) Weigh the diced peppers and label parchment-lined trays with the product name, date, and weight. Spread the peppers out evenly in a single layer and place the trays in the fridge to dry for 2 hours."
,,,863,,,1748,Deseeded Red Pepper (Veg T),,33.1942,Kgs,
Veg - 017,Tue,2,2028,https://eatbetterday.ca/admin/ingredients/2028,Diced Tempeh,,,,11.62,Kgs,"1) Set up Robo Coupe with the 8x8mm (5/16in) dicing grid.
2) Place a grey bin underneath the Robo Coupe so they fall into the grey bin.
3) Weigh, label with the item name and date, and place in the fridge in the assigned area."
,,,2028,,,2009,Steamed Tempeh (Oven W),,11.62,Kgs,
Veg - 017,Tue,2,1367,https://eatbetterday.ca/admin/ingredients/1367,Fiesta Burrito Slaw,,,,2.3074,Kgs,"1) Batch all ingredients together, ensuring even distribution.
2) Weigh, label, and placed in the assigned area."
,,,1367,,,236,Shaved Red Cabbage (Veg T),,0.9267,Kgs,
,,,1367,,,333,Shaved Green Cabbage (Veg T),,0.9267,Kgs,
,,,1367,,,1230,Air Dried Shredded Kale (Veg W),,0.4633,Kgs,
Veg - 017,Tue,2,2051,https://eatbetterday.ca/admin/ingredients/2051,Half Moon Carrots,,,,35.6442,Kgs,"1) Peel carrots and cut them lengthwise.
2) Install the ejection disc into the large Robot Coupe bowl.
3) Insert the 8mm slicing disc into the bowl.
4) Lock the bowl securely onto the base. 5 )Feed the carrots through the feed chute using the pusher, processing until all the carrots are cut into 1/4 inch half moon slices.
5) Transfer the cut carrots into a grey bin.
6) Weigh each container. Lid, label with the name, date, weight, and your initials."
,,,2051,,,900,Jumbo Carrots,,42.1575,Kgs,
Veg - 017,Tue,2,1029,https://eatbetterday.ca/admin/ingredients/1029,Halved + Air dried Zucchini,,,,19.6206,Kgs,"1) Wash the zucchinis under cold running water.
2) Trim off both ends and slice each zucchini in half lengthwise.
3) Transfer to bins and weigh.
4) Arrange the zucchini cut-side up on sheet trays.
5) Place the trays in a tented rack and roll into the cooler to air-dry overnight.
6) Label the rack and roll with product name and date."
,,,1029,,,136,Green Zucchini,,21.7402,Kgs,
Veg - 017,Tue,2,2477,https://eatbetterday.ca/admin/ingredients/2477,Hand-Cut 1/4 in Diced Red Peppers,,,,5.735,Kgs,"1) Set up a green cutting board and get a sharp knife.
2) Take 6-8 pieces of julienned peppers and cut across the length to create 1/4 inch diced pieces (ask your station lead or a sous for a demo if needed).
3) Repeat the process until you have finished. Place the product onto sheet trays with parchment to allow them to dry slightly before portioning.
4) Weigh your product. Label with the name, date, your initial and the weight.
5) Enter your weight into the Prep Master List."
,,,2477,,,5,Punch Sliced Red Peppers (Veg T),,5.735,Kgs,
Veg - 017,Tue,2,2478,https://eatbetterday.ca/admin/ingredients/2478,Hand-Cut 1/4 in Diced Yellow Peppers,,,,4.465,Kgs,"1) Set up a green cutting board and get a sharp knife.
2) Take 6-8 pieces of julienned peppers and cut across the length to create 1/4 inch diced pieces (ask your station lead or a sous for a demo if needed).
3) Repeat the process until you have finished. Place the product onto sheet trays with parchment to allow them to dry slightly before portioning.
4) Weigh your product. Label with the name, date, your initial and the weight.
5) Enter your weight into the Prep Master List."
,,,2478,,,1481,Punch Sliced Julienne Yellow Peppers (Veg T),,4.465,Kgs,
Veg - 017,Tue,2,2257,https://eatbetterday.ca/admin/ingredients/2257,HF Sliced Celery,,,,5.2286,Kgs,"1) De-stem celery and wash.
2) Using a knife, remove the tops and leaves. Cut into 2-3 pieces.
3) Install the ejection disc into the large Robot Coupe CL52.
4) Insert the 1/1"" slicing blade into the bowl.
5) Lock the bowl securely onto the base.
6) Feed the celery pieces through the feed chute using the pusher, processing until all the stalks are cut into 1 inch slices.
7) Transfer the cut celery into a grey bin.
8) Weigh each container. Lid, label with the name, date, weight, and your initials."
,,,2257,,,201,(1602005) - Whole Celery,,5.3353,Kgs,
Veg - 017,Tue,2,2894,https://eatbetterday.ca/admin/ingredients/2894,Large Diced Russet Potato,,,,18.334,Kgs,"1) Wash all potatoes thoroughly to remove dirt and debris.
2) Unplug the Robot Coupe CL52E before setup. Open the continuous feed head and begin by placing the ejection disc onto the motor shaft. Insert the 1/1 inch dicing grid into the bowl, and attach the matching knife blade on the shaft above the grid. Close the lid securely.
3) Plug in and turn on the Robot Coupe. Process all the potatoes through the hopper using steady, even pressure. The diced potatoes will fall directly into the grey bin.
4) Weigh the diced potatoes and record the weight without water for your master list. Label with the item name and date.
5) To prevent browning, fill the bin with water and place it in the fridge if we arent using right away."
,,,2894,,,1345,(1010005) - Russet Potatoes,,19.2989,Kgs,
Veg - 017,Tue,2,891,https://eatbetterday.ca/admin/ingredients/891,Medium Diced Yam,,,,71.5761,Kgs,"1) Wash all yams thoroughly under cold running water to remove any dirt or surface debris. Do not peel the yams unless otherwise specified. Trim off any tough ends or blemishes.
2) Unplug the Robot Coupe CL52E before setup. Open the continuous feed head and begin by placing the ejection disc onto the motor shaft. Insert the 20mm (4/5) dicing grid into the bowl, then attach the matching dicing blade on the shaft above the grid. Close and lock the lid securely.
3) Plug in and turn on the Robot Coupe. Process all of the prepared yam pieces through the hopper using steady, even pressure. The diced yams will fall directly into a clean grey bin.
4) Weigh the diced yams and record the weight (without water) for your master list. Label the bin with the item name and date."
,,,891,,,70,Jumbo Yam,,79.3087,Kgs,
Veg - 017,Tue,2,876,https://eatbetterday.ca/admin/ingredients/876,Medium Diced Yellow Potato,,,,109.358,Kgs,"1) Wash all potatoes thoroughly to remove dirt and debris.
2) Unplug the Robot Coupe CL52E before setup. Open the continuous feed head and begin by placing the ejection disc onto the motor shaft. Insert the 20mm (4/5) dicing grid into the bowl, and attach the matching knife blade on the shaft above the grid. Close the lid securely.
3) Plug in and turn on the Robot Coupe. Process all the potatoes through the hopper using steady, even pressure. The diced potatoes will fall directly into the grey bin.
4) Weigh the diced potatoes and record the weight without water for your master list. Label with the item name and date.
5) To prevent browning, fill the bin with water and place it in the fridge if we arent using right away."
,,,876,,,71,(1514605) - Yellow Potato,,115.1136,Kgs,
Veg - 017,Tue,2,1852,https://eatbetterday.ca/admin/ingredients/1852,Minced Thai Basil,,,,4.0554,Kgs,"1) Plucked basil from the stems.
2) Fine chop basil much smaller than the rough chop.
3) Weigh, label, and place in the assigned area in the fridge."
,,,1852,,,1851,Thai Basil,,4.2688,Kgs,
Veg - 017,Tue,2,937,https://eatbetterday.ca/admin/ingredients/937,Pico De Galo Salsa No Liquid,,,,3.6872,Kgs,"1) Mise all ingredients.
2) Batch all ingredients together. Mix well.
3) Weigh and label"
,,,937,,,102,(2171605) - Minced Garlic,,0.035,Kgs,
,,,937,,,252,Small Punch Dice Red Onion (Veg W),,0.9568,Kgs,
,,,937,,,1040,Diced Jalapeno (Veg W),,0.2334,Kgs,
,,,937,,,1120,Small Punch Dice Tomato (Veg W),,2.497,Kgs,
